Precinct	total_votes	votes|Karen Yarbrough
Proviso 101	137	137
Proviso 102	143	143
River Forest 2	177	177
River Forest 3	238	238
River Forest 4	263	263
River Forest 5	196	196
River Forest 6	174	174
River Forest 7	252	252
River Forest 8	328	328
Riverside 13	19	19
