Precinct	Votes	votes|Danny K. Davis	pct|Danny K. Davis	votes|Anthony V. Clark	pct|Anthony V. Clark
Oak Park 34	145	43.81	186	56.19
Oak Park 35	221	45.85	261	54.15
Oak Park 36	238	45.42	286	54.58
Oak Park 37	135	55.33	109	44.67
Proviso 1	160	82.9	33	17.1
Proviso 2	134	76.14	42	23.86
Proviso 3	92	80	23	20
Proviso 4	220	87.65	31	12.35
Proviso 5	229	88.76	29	11.24
Proviso 8	121	75.16	40	24.84
Proviso 9	204	84.65	37	15.35
Proviso 17	131	85.62	22	14.38
Proviso 18	269	86.22	43	13.78
Proviso 19	201	88.55	26	11.45
Proviso 20	211	92.14	18	7.86
Proviso 21	105	56.15	82	43.85
Proviso 22	207	91.19	20	8.81
Proviso 30	187	85.39	32	14.61
Proviso 31	121	83.45	24	16.55
Proviso 33	267	86.13	43	13.87
Proviso 34	397	84.65	72	15.35
Proviso 36	216	79.41	56	20.59
Proviso 37	148	83.62	29	16.38
Proviso 38	201	81.71	45	18.29
Proviso 39	196	80.33	48	19.67
Proviso 40	229	85.45	39	14.55
Proviso 41	178	86.83	27	13.17
Proviso 42	174	88.32	23	11.68
Proviso 43	170	88.08	23	11.92
Proviso 44	169	90.86	17	9.14
Proviso 45	204	86.44	32	13.56
Proviso 47	127	83.01	26	16.99
Proviso 48	241	87.96	33	12.04
Proviso 49	127	84.67	23	15.33
Proviso 50	236	71.95	92	28.05
Proviso 51	146	64.32	81	35.68
Proviso 52	141	89.24	17	10.76
Proviso 53	185	82.59	39	17.41
Proviso 56	199	84.32	37	15.68
Proviso 58	129	86.58	20	13.42
Proviso 59	114	65.14	61	34.86
Proviso 60	123	86.01	20	13.99
Proviso 61	173	60.28	114	39.72
Proviso 62	246	68.14	115	31.86
Proviso 63	5	55.56	4	44.44
Proviso 64	237	85.25	41	14.75
Proviso 65	140	68.29	65	31.71
Proviso 66	194	58.26	139	41.74
Proviso 67	219	55.44	176	44.56
Proviso 68	87	54.04	74	45.96
