Precinct	total_votes	votes|JB Pritzker & Juliana Stratton	votes|Bruce Rauner & Evelyn Sanguinetti	votes|Grayson Kash Jackson & Sanjeev Mohip	votes|William McCann & Aaron Merreighn
20008	354	335	8	9	2
20009	534	506	11	8	9
20010	258	245	9	3	1
20011	510	489	11	9	1
20012	304	287	6	6	5
20013	402	376	13	6	7
20014	186	181	4	0	1
20015	308	285	18	5	0
20016	429	396	19	5	9
20017	229	206	16	5	2
20018	252	240	4	3	5
20019	383	360	12	6	5
20020	239	210	20	5	4
20021	257	239	14	1	3
20022	482	446	23	9	4
20023	409	387	12	6	4
20024	434	396	25	10	3
20025	280	260	12	6	2
20026	404	376	14	10	4
20027	199	181	8	5	5
20028	237	216	8	10	3
20029	445	430	8	4	3
20030	170	167	1	1	1
20031	456	432	14	8	2
20032	362	349	4	4	5
20033	222	210	9	3	0
20034	634	595	26	9	4
20035	268	254	7	6	1
20036	127	122	1	3	1
20037	115	112	1	1	1
20038	128	116	5	3	4
20039	24	19	4	1	0
21001	422	398	11	8	5
21002	295	280	6	7	2
21003	403	379	14	4	6
21004	361	353	4	2	2
21005	419	398	14	6	1
21006	313	303	5	2	3
21007	389	370	9	8	2
21008	395	378	8	4	5
21009	433	424	5	3	1
21010	341	316	11	8	6
21011	352	340	6	4	2
21012	358	349	4	3	2
21013	371	344	16	5	6
21014	403	382	15	5	1
21015	335	319	9	4	3
21016	361	345	11	3	2
21017	347	324	10	5	8
21018	428	413	5	9	1
21019	387	373	5	8	1
21020	332	314	6	7	5
21021	320	297	9	11	3
21022	331	317	7	5	2
21023	330	320	4	4	2
21024	370	357	5	6	2
21025	327	310	5	9	3
21026	377	349	15	7	6
21027	378	361	10	5	2
21028	466	446	11	7	2
21029	431	414	5	3	9
21030	314	296	5	10	3
21031	281	268	6	3	4
21032	348	338	3	2	5
21033	335	318	6	7	4
21034	340	325	9	3	3
21035	436	417	8	7	4
21036	356	333	11	10	2
21037	277	261	8	4	4
21038	363	350	6	5	2
21039	319	309	2	6	2
21040	343	323	13	3	4
21041	382	369	5	4	4
21042	416	401	7	4	4
21043	366	353	6	3	4
21044	376	356	8	8	4
21045	352	338	7	5	2
21046	418	399	10	6	3
21047	362	341	12	6	3
21048	379	354	13	5	7
21049	413	400	6	5	2
21050	308	292	7	3	6
21051	352	335	6	5	6
21052	354	336	10	3	5
21053	331	306	11	6	8
21054	326	310	7	4	5
22001	208	196	4	4	4
22002	419	298	99	8	14
22003	470	428	26	10	6
22004	268	247	15	5	1
22005	337	309	22	1	5
22006	318	293	13	6	6
22007	246	228	11	4	3
22008	459	368	75	6	10
22009	271	251	13	5	2
22010	447	395	40	8	4
22011	268	244	18	2	4
22012	322	260	52	6	4
22013	331	290	23	10	8
22014	252	232	19	1	0
22015	270	245	19	4	2
22016	292	273	14	3	2
22017	349	302	34	9	4
22018	295	264	20	6	5
22019	180	167	6	6	1
22020	302	262	22	14	4
22021	367	356	5	2	4
22022	295	257	28	7	3
22023	461	434	14	6	7
22024	356	319	24	9	4
22025	336	305	27	3	1
23001	353	181	149	6	17
23002	381	241	115	6	19
