Precinct	total_votes	votes|Karen A. Yarbrough
31037	227	227
31038	188	188
31039	281	281
31040	267	267
31041	208	208
32001	528	528
32002	504	504
32003	547	547
32004	449	449
32005	503	503
32006	590	590
32007	516	516
32008	580	580
32009	458	458
32010	482	482
32011	468	468
32012	382	382
32013	499	499
32014	526	526
32015	468	468
32016	501	501
32017	507	507
32018	426	426
32019	501	501
32020	495	495
32021	508	508
32022	637	637
32023	534	534
32024	350	350
32025	500	500
32026	562	562
32027	459	459
32028	520	520
32029	561	561
32030	475	475
32031	516	516
32032	551	551
32033	491	491
32034	554	554
32035	497	497
32036	515	515
32037	488	488
32038	448	448
32039	511	511
32040	535	535
32041	504	504
32042	433	433
32043	491	491
33001	473	473
33002	596	596
33003	683	683
33004	646	646
33005	433	433
33006	421	421
33007	549	549
33008	655	655
33009	534	534
33010	464	464
33011	533	533
33012	467	467
33013	477	477
33014	244	244
33015	485	485
33016	621	621
33017	540	540
33018	665	665
33019	530	530
33020	573	573
33021	509	509
33022	436	436
33023	532	532
33024	632	632
33025	600	600
33026	411	411
33027	537	537
33028	496	496
34001	386	386
34002	294	294
34003	372	372
34004	275	275
34005	315	315
34006	418	418
34007	417	417
34008	303	303
34009	247	247
34010	356	356
34011	307	307
34012	401	401
34013	354	354
34014	272	272
34015	325	325
34016	296	296
34017	468	468
34018	272	272
34019	395	395
34020	417	417
34021	430	430
34022	367	367
34023	292	292
34024	326	326
34025	548	548
34026	390	390
34027	305	305
34028	240	240
34029	287	287
34030	365	365
34031	303	303
34032	363	363
34033	290	290
34034	384	384
34035	402	402
34036	324	324
34037	216	216
34038	171	171
34039	258	258
34040	400	400
34041	229	229
34042	363	363
34043	335	335
34044	370	370
34045	391	391
34046	246	246
34047	349	349
34048	380	380
34049	335	335
34050	293	293
34051	381	381
34052	273	273
34053	226	226
35001	426	426
35002	480	480
35003	399	399
35004	397	397
35005	396	396
35006	393	393
35007	450	450
35008	466	466
35009	352	352
35010	566	566
35011	466	466
35012	274	274
35013	278	278
35014	294	294
35015	502	502
35016	234	234
35017	492	492
35018	269	269
35019	223	223
35020	380	380
35021	375	375
35022	527	527
35023	427	427
35024	372	372
35025	495	495
35026	362	362
35027	349	349
35028	403	403
35029	355	355
35030	390	390
35031	437	437
36001	311	311
36002	304	304
36003	298	298
36004	309	309
36005	306	306
36006	268	268
36007	349	349
36008	231	231
36009	289	289
36010	388	388
36011	220	220
36012	200	200
36013	218	218
36014	342	342
36015	324	324
36016	336	336
36017	362	362
36018	327	327
36019	377	377
36020	342	342
36021	249	249
36022	244	244
36023	268	268
36024	307	307
36025	312	312
36026	281	281
36027	316	316
36028	271	271
36029	334	334
36030	318	318
37001	229	229
37002	270	270
37003	244	244
37004	260	260
37005	367	367
37006	379	379
37007	234	234
37008	234	234
37009	354	354
37010	384	384
37011	221	221
37012	245	245
37013	241	241
37014	340	340
37015	341	341
37016	364	364
37017	274	274
37018	294	294
37019	237	237
37020	275	275
37021	302	302
37022	284	284
37023	314	314
37024	363	363
37025	295	295
37026	426	426
37027	303	303
37028	276	276
37029	293	293
37030	324	324
37031	346	346
37032	294	294
37033	349	349
37034	315	315
37035	352	352
37036	326	326
37037	365	365
37038	326	326
37039	306	306
37040	341	341
37041	327	327
38001	331	331
38002	259	259
38003	311	311
38004	298	298
38005	308	308
38006	312	312
38007	278	278
38008	283	283
38009	339	339
38010	258	258
38011	293	293
38012	264	264
38013	299	299
38014	358	358
38015	298	298
38016	297	297
38017	366	366
