Precinct	total_votes	votes|Rahm Emanuel	votes|Willie Wilson	votes|Robert W. Fioretti	votes|Jesus ''Chuy'' Garcia	votes|William Walls, Iii
45037	281	149	11	24	97	0
45038	250	123	6	24	94	3
45039	279	129	7	46	95	2
45040	301	150	12	47	89	3
45041	307	147	7	58	93	2
45042	339	172	11	54	102	0
45043	345	146	8	68	121	2
45044	319	168	6	49	95	1
45045	221	97	10	52	61	1
45046	202	86	7	32	73	4
45047	240	98	8	49	84	1
45048	236	112	4	49	67	4
46001	269	134	15	19	95	6
46002	252	135	14	6	95	2
46003	328	221	11	11	82	3
46004	294	171	11	12	97	3
46005	222	126	8	14	72	2
46006	248	139	12	12	82	3
46007	410	271	14	22	97	6
46008	227	110	26	10	73	8
46009	255	144	4	15	89	3
46010	233	131	6	18	75	3
46011	257	167	19	11	59	1
46012	259	123	11	10	113	2
46013	244	139	4	16	81	4
46014	342	172	52	11	100	7
46015	251	162	6	12	67	4
46016	271	139	7	17	108	0
46017	340	221	15	17	84	3
46018	239	133	10	12	82	2
46019	213	138	2	14	56	3
46020	274	133	30	15	87	9
46021	184	107	5	12	58	2
46022	235	101	16	8	110	0
46023	217	126	20	8	60	3
46024	294	195	7	15	75	2
46025	270	119	16	10	123	2
46026	225	112	6	19	82	6
46027	257	151	13	15	75	3
46028	334	223	6	8	93	4
46029	243	142	7	11	80	3
46030	263	139	11	14	92	7
46031	214	113	5	13	81	2
46032	319	184	31	8	92	4
46033	306	198	7	14	87	0
46034	265	155	10	14	85	1
46035	301	184	15	14	83	5
46036	281	176	8	16	78	3
46037	209	138	22	6	42	1
46038	219	118	21	9	66	5
46039	234	147	6	17	64	0
46040	265	142	11	13	96	3
47001	120	59	4	8	49	0
47002	343	186	6	26	121	4
47003	376	263	9	13	91	0
47004	303	161	3	19	117	3
47005	266	146	9	14	95	2
47006	238	134	3	22	76	3
47007	219	109	9	15	83	3
47008	286	171	4	22	87	2
47009	191	93	5	14	78	1
47010	273	133	5	10	124	1
47011	183	97	3	16	62	5
47012	292	149	6	11	126	0
47013	265	118	3	16	124	4
47014	267	141	13	13	98	2
47015	281	96	7	18	159	1
47016	314	158	8	16	130	2
47017	238	128	5	18	86	1
47018	242	145	5	8	82	2
47019	264	121	7	12	123	1
47020	289	138	7	25	117	2
47021	258	121	5	14	114	4
47022	321	156	6	21	138	0
47023	248	97	8	17	126	0
47024	217	123	2	16	76	0
47025	238	114	10	4	109	1
47026	253	116	1	11	124	1
47027	226	127	2	14	81	2
47028	310	156	3	17	131	3
47029	267	140	6	15	104	2
47030	277	133	6	18	120	0
47031	250	110	1	14	125	0
47032	282	127	4	17	134	0
47033	222	144	3	9	63	3
47034	319	178	8	14	115	4
47035	249	138	7	19	83	2
47036	298	142	5	18	132	1
47037	291	157	6	13	115	0
47038	254	133	4	11	106	0
47039	283	165	2	19	95	2
47040	323	163	9	15	133	3
47041	294	131	6	15	136	6
47042	236	98	5	10	120	3
47043	219	124	7	18	68	2
47044	261	165	10	12	70	4
47045	272	128	7	23	112	2
47046	263	126	6	17	112	2
47047	255	131	5	14	103	2
47048	52	38	2	0	12	0
48001	220	82	3	13	117	5
48002	139	75	1	3	58	2
48003	254	120	13	21	97	3
48004	245	150	5	7	81	2
48005	213	122	3	9	75	4
48006	259	143	17	6	89	4
48007	219	93	4	11	110	1
48008	164	98	2	12	51	1
48009	206	128	9	15	50	4
48010	329	141	8	13	167	0
48011	247	124	6	15	102	0
48012	283	150	9	18	102	4
48013	367	229	20	16	96	6
48014	194	118	9	12	51	4
48015	166	95	8	6	51	6
48016	257	128	18	12	94	5
48017	279	161	11	8	95	4
48018	264	158	23	17	57	9
48019	183	92	4	9	77	1
48020	294	101	11	12	168	2
48021	317	162	37	15	99	4
48022	321	202	15	6	94	4
48023	368	203	18	25	116	6
48024	268	148	9	20	89	2
48025	263	116	4	9	133	1
48026	131	74	3	10	43	1
48027	197	97	5	12	79	4
48028	343	215	20	21	82	5
48029	227	181	2	10	32	2
48030	228	88	6	15	115	4
48031	297	146	23	12	110	6
48032	201	89	12	10	86	4
48033	220	152	3	9	54	2
48034	250	114	6	18	112	0
48035	212	132	21	10	47	2
48036	224	143	6	8	66	1
48037	227	77	4	6	137	3
48038	320	153	6	5	152	4
48039	247	156	10	8	70	3
48040	217	95	6	10	105	1
48041	242	111	13	19	95	4
48042	270	100	4	15	148	3
48043	277	147	15	17	91	7
48044	269	129	3	15	119	3
48045	170	61	6	7	93	3
48046	198	107	9	13	65	4
49001	159	78	19	4	51	7
49002	187	82	5	9	90	1
49003	316	127	18	11	154	6
49004	300	105	9	21	163	2
49005	292	135	31	20	98	8
49006	225	98	15	9	98	5
49007	250	122	7	17	102	2
49008	216	111	6	12	83	4
49009	270	123	12	17	114	4
49010	273	112	15	12	128	6
49011	313	124	14	19	149	7
49012	301	122	10	11	150	8
49013	315	129	13	16	155	2
49014	268	142	19	13	89	5
49015	190	84	11	10	80	5
49016	318	176	13	13	105	11
49017	248	145	11	12	78	2
49018	333	122	7	14	186	4
49019	222	110	9	6	91	6
49020	385	149	16	19	196	5
49021	172	94	7	10	56	5
49022	324	135	29	10	142	8
49023	293	111	9	17	149	7
49024	214	95	31	7	75	6
49025	334	128	10	21	171	4
49026	315	146	23	14	127	5
49027	266	118	22	5	111	10
49028	296	123	9	17	143	4
49029	313	123	11	16	153	10
49030	282	123	11	17	123	8
49031	225	116	22	10	72	5
49032	295	141	30	13	105	6
49033	226	92	18	9	106	1
50001	260	168	18	5	65	4
50002	149	86	6	18	39	0
50003	245	142	5	20	77	1
50004	257	137	6	11	97	6
50005	212	134	9	21	45	3
50006	265	150	12	26	72	5
50007	328	140	11	23	146	8
50008	192	89	12	5	82	4
50009	200	96	10	16	75	3
50010	202	123	7	19	52	1
50011	157	110	8	11	25	3
50012	131	98	7	8	16	2
50013	190	81	15	12	73	9
50014	90	66	5	2	17	0
50015	295	136	5	25	124	5
50016	100	75	0	6	19	0
50017	175	90	14	16	53	2
50018	74	66	0	3	4	1
50019	156	66	12	17	58	3
50020	255	102	10	15	128	0
50021	168	75	3	13	76	1
50022	178	113	9	16	36	4
50023	152	96	5	10	38	3
50024	210	140	4	19	46	1
50025	231	135	8	14	69	5
50026	210	114	9	11	74	2
50027	88	62	4	3	19	0
50028	234	132	17	12	69	4
50029	165	67	14	7	72	5
50030	169	86	6	10	66	1
50031	211	99	14	5	87	6
50032	209	103	16	15	74	1
50033	196	131	4	20	41	0
50034	297	149	12	15	118	3
50035	261	120	9	14	115	3
50036	239	116	4	20	98	1
50037	228	116	10	16	85	1
50038	153	111	6	11	22	3
50039	148	97	2	12	37	0
50040	260	173	13	26	48	0
