Precinct	total_votes	votes|Jacob Meister	votes|Iris Y. Martinez	votes|Richard R. Boykin	votes|Michael M. Cabonargi
14014	220	15	150	23	32
14015	218	18	143	16	41
14016	170	16	107	17	30
14017	198	13	132	15	38
14018	104	13	68	6	17
14019	162	8	106	18	30
14020	154	12	89	11	42
14021	158	10	103	17	28
14022	274	24	152	17	81
14023	175	16	94	16	49
14024	269	27	90	25	127
14025	120	14	85	6	15
14026	169	16	110	13	30
14027	227	14	142	18	53
14028	158	14	98	10	36
14029	191	14	108	15	54
14030	123	16	78	11	18
14031	132	11	98	13	10
15001	193	13	145	14	21
15002	110	13	21	54	22
15003	127	12	21	61	33
15004	198	16	150	12	20
15005	161	19	105	20	17
15006	186	16	130	19	21
15007	105	11	20	55	19
15008	185	18	140	11	16
15009	230	24	168	19	19
15010	258	25	170	15	48
15011	217	19	150	16	32
15012	221	16	156	18	31
15013	199	13	138	21	27
15014	170	20	122	12	16
15015	163	11	123	10	19
15016	226	16	160	28	22
15017	133	17	31	62	23
15018	92	9	22	45	16
15019	172	19	87	38	28
15020	127	8	25	70	24
15021	123	11	21	66	25
15022	123	16	36	55	16
15023	122	13	24	64	21
15024	99	11	23	42	23
16001	187	19	116	18	34
16002	159	15	55	59	30
16003	114	12	19	55	28
16004	139	11	43	57	28
16005	91	8	18	51	14
16006	151	11	37	64	39
16007	142	13	49	54	26
16008	80	7	31	28	14
16009	140	10	35	68	27
16010	125	11	23	70	21
16011	141	18	55	46	22
16012	116	13	35	48	20
16013	139	12	75	29	23
16014	113	11	29	57	16
16015	154	19	35	68	32
16016	129	13	24	64	28
16017	156	11	68	43	34
16018	103	3	41	41	18
16019	155	19	44	67	25
16020	109	12	19	50	28
16021	124	12	29	59	24
16022	116	8	27	52	29
16023	155	19	95	31	10
16024	83	9	16	42	16
16025	157	15	38	82	22
16026	122	15	24	58	25
16027	110	8	28	53	21
16028	145	17	32	73	23
16029	109	14	23	50	22
16030	95	9	24	49	13
16031	167	10	40	84	33
16032	174	10	111	28	25
16033	94	16	21	43	14
