Precinct	total_votes	votes|Yes	votes|No
34032	419	407	12
34033	358	340	18
34034	486	464	22
34035	527	511	16
34036	360	343	17
34037	245	231	14
34038	207	197	10
34039	321	297	24
34040	467	452	15
34041	256	245	11
34042	408	400	8
34043	378	363	15
34044	391	373	18
34045	419	406	13
34046	287	280	7
34047	385	371	14
34048	419	406	13
34049	394	383	11
34050	346	332	14
34051	459	440	19
34052	328	314	14
34053	296	285	11
35001	629	579	50
35002	610	562	48
35003	532	507	25
35004	593	535	58
35005	515	482	33
35006	606	571	35
35007	616	575	41
35008	594	562	32
35009	544	498	46
35010	693	656	37
35011	690	649	41
35012	423	401	22
35013	427	403	24
35014	479	450	29
35015	706	660	46
35016	334	320	14
35017	603	570	33
35018	393	365	28
35019	378	353	25
35020	599	561	38
35021	601	567	34
35022	716	681	35
35023	620	576	44
35024	536	486	50
35025	617	570	47
35026	509	457	52
35027	546	517	29
35028	567	519	48
35029	566	534	32
35030	565	526	39
35031	633	579	54
36001	490	443	47
36002	498	470	28
36003	443	410	33
36004	537	497	40
36005	428	399	29
36006	465	432	33
36007	566	462	104
36008	414	383	31
36009	467	433	34
36010	641	583	58
36011	348	320	28
36012	333	310	23
36013	362	345	17
36014	553	479	74
36015	525	440	85
36016	509	452	57
36017	615	535	80
36018	544	458	86
36019	632	577	55
36020	573	497	76
36021	462	431	31
36022	448	401	47
36023	449	418	31
36024	592	527	65
36025	511	479	32
36026	492	414	78
36027	466	422	44
36028	529	450	79
36029	559	462	97
36030	493	428	65
37001	220	207	13
37002	354	336	18
37003	286	270	16
37004	330	308	22
37005	418	397	21
37006	267	262	5
37007	329	307	22
37008	303	278	25
37009	406	390	16
37010	502	465	37
37011	266	254	12
37012	374	356	18
37013	289	276	13
37014	441	419	22
37015	410	383	27
37016	445	422	23
37017	291	279	12
37018	346	320	26
37019	284	276	8
37020	351	331	20
37021	360	338	22
37022	373	351	22
37023	374	362	12
37024	380	361	19
37025	343	326	17
37026	528	499	29
37027	376	359	17
37028	356	343	13
37029	373	343	30
37030	348	334	14
37031	445	421	24
37032	360	336	24
37033	290	282	8
37034	353	336	17
37035	385	367	18
37036	285	277	8
37037	428	397	31
37038	421	404	17
37039	331	317	14
37040	409	382	27
37041	414	395	19
38001	504	454	50
38002	556	353	203
38003	563	449	114
38004	538	426	112
38005	546	441	105
38006	569	453	116
