Precinct	total_votes	votes|Patrick Daley Thompson (Joseph R. Bide	votes|Donna Hughes (Joseph R. Biden)	votes|Kyle R. Hastings (Joseph R. Biden)	votes|Lynn Barker (Joseph R. Biden)	votes|Kevin E. O'Gorman (Joseph R. Biden)	votes|Adriana D. Olson (Joseph R. Biden)	votes|Amalia Dejesus (Bernie Sanders)	votes|Deliah Odeh (Bernie Sanders)	votes|Maureen Sullivan (Bernie Sanders)	votes|Daniel Guzman (Bernie Sanders)	votes|Jose Requena (Bernie Sanders)	votes|Kyle Killacky (Bernie Sanders)	votes|Neel Jhobalia (Andrew Yang)	votes|Brian Pioppo (Andrew Yang)	votes|Kate Wu (Andrew Yang)	votes|Kathleen ''Kathy'' Shaevel (Elizabeth	votes|Adam Flores (Elizabeth Warren)	votes|Angela Robertson (Elizabeth Warren)	votes|Jose Luis Torrez (Elizabeth Warren)	votes|Tammy Georgiou (Elizabeth Warren)	votes|Christian D. Perry (Elizabeth Warren)
13042	1092	133	94	121	89	117	88	66	55	71	66	53	54	6	10	10	9	11	8	13	9	9
13043	1018	105	64	84	60	85	59	93	76	82	94	77	68	7	11	7	7	11	10	11	3	4
13044	974	108	54	98	42	91	48	95	70	69	100	74	67	2	2	4	9	12	7	14	5	3
13045	1208	155	79	130	75	132	77	88	80	85	90	76	78	8	9	7	3	10	5	9	5	7
13046	1189	98	76	85	66	86	72	119	94	101	119	97	90	11	7	11	5	12	8	20	7	5
13047	1120	126	45	110	41	104	48	111	89	96	119	98	81	1	3	1	2	9	13	17	4	2
13048	833	116	59	103	49	95	51	53	50	54	54	44	43	8	6	10	7	7	7	7	6	4
14001	1223	126	99	96	91	97	89	84	73	93	98	80	79	15	14	15	8	14	8	17	16	11
14004	1002	94	81	83	76	81	72	69	60	71	74	63	54	16	20	15	8	14	10	19	13	9
14005	397	28	21	16	16	14	23	51	39	38	51	41	34	0	2	2	4	5	3	6	2	1
14007	1346	69	63	56	60	53	67	164	141	141	170	146	125	5	4	10	5	19	9	28	3	8
14008	1168	59	48	44	46	39	53	147	122	120	159	132	109	1	4	6	6	16	9	32	6	10
14009	1452	132	115	110	111	110	111	123	107	108	130	112	91	6	10	15	10	14	9	16	6	6
14012	1018	70	62	59	63	59	72	103	85	87	108	95	83	5	5	7	3	13	7	22	4	6
14018	472	33	27	25	27	25	31	53	41	46	48	43	37	2	2	1	3	6	4	10	5	3
14021	812	32	25	23	19	22	24	106	92	99	118	99	89	8	6	9	2	8	6	17	5	3
14022	1368	119	101	90	92	92	91	115	100	107	123	108	87	10	8	16	17	23	18	28	13	10
14023	838	53	45	44	44	41	46	87	79	82	93	81	72	4	6	6	4	13	8	17	8	5
14024	1248	125	111	98	106	99	107	87	77	94	89	81	74	9	13	11	8	13	13	14	9	10
14025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14026	742	43	33	29	29	27	34	99	67	69	108	75	67	6	4	4	4	16	4	17	2	5
14029	882	44	35	36	37	31	38	112	99	92	116	101	82	5	6	10	7	11	4	13	1	2
15001	715	47	36	34	33	30	35	89	66	68	93	70	67	3	3	4	2	12	5	15	1	2
15005	140	10	9	8	10	10	9	15	8	11	17	11	9	0	0	1	1	1	1	6	2	1
15008	472	15	15	12	14	14	15	70	56	53	70	57	43	1	3	4	2	8	3	13	1	3
15013	825	45	31	31	28	30	35	104	84	86	109	88	79	8	7	10	5	14	9	14	4	4
15014	783	22	15	16	18	14	20	112	97	102	117	108	83	3	2	2	4	13	7	20	1	7
15015	455	18	16	11	13	10	12	64	46	55	74	56	45	4	2	5	4	4	3	10	1	2
15016	1054	84	61	51	55	71	68	121	89	90	124	98	72	2	5	5	8	14	8	19	5	4
15019	904	69	63	62	57	56	62	88	78	75	87	78	63	3	3	7	9	10	11	9	5	9
16001	729	42	36	32	32	33	32	91	75	74	90	84	71	1	2	1	2	9	6	11	1	4
16007	35	2	2	2	1	2	1	4	3	3	3	4	2	1	1	0	2	0	0	2	0	0
16023	697	49	41	31	37	40	42	75	62	69	82	67	52	1	2	4	2	9	5	20	1	6
16032	832	46	40	39	45	36	42	102	84	84	101	85	74	3	2	6	6	8	5	17	1	6
16035	285	19	15	17	15	17	18	35	25	27	31	30	22	2	0	1	1	4	1	3	1	1
18015	1241	111	106	99	100	96	94	102	84	87	100	86	73	7	6	10	13	16	9	23	10	9
18024	890	68	64	56	51	55	57	88	78	82	86	71	59	6	1	10	9	13	9	14	7	6
18025	917	78	73	69	65	77	73	84	63	79	71	69	53	3	6	10	6	11	7	14	4	2
18030	1187	82	81	73	78	76	84	115	101	97	118	94	90	7	9	14	10	14	14	18	6	6
18040	1201	109	109	94	93	93	94	92	85	100	101	87	77	3	1	10	5	8	8	16	8	8
18043	730	51	42	40	42	39	46	77	66	73	84	68	58	3	3	3	1	13	4	14	1	2
18046	1199	88	82	73	70	79	71	118	101	108	125	104	97	8	5	5	9	16	7	17	8	8
19001	1088	154	113	105	97	118	102	52	46	61	51	45	53	13	12	15	12	6	10	8	7	8
