Precinct	total_votes	votes|No Candidate
Orland 55	0	0
Orland 56	0	0
Orland 57	0	0
Orland 58	0	0
Orland 59	0	0
Orland 60	0	0
Orland 61	0	0
Orland 62	0	0
Orland 63	0	0
Orland 64	0	0
Orland 65	0	0
Orland 66	0	0
Orland 67	0	0
Orland 68	0	0
Orland 69	0	0
Orland 70	0	0
Orland 71	0	0
Orland 72	0	0
Orland 73	0	0
Orland 74	0	0
Orland 75	0	0
Palatine 1	0	0
Palatine 2	0	0
Palatine 3	0	0
Palatine 4	0	0
Palatine 5	0	0
Palatine 6	0	0
Palatine 7	0	0
Palatine 8	0	0
Palatine 9	0	0
Palatine 10	0	0
Palatine 11	0	0
Palatine 12	0	0
Palatine 13	0	0
Palatine 14	0	0
Palatine 15	0	0
Palatine 16	0	0
Palatine 17	0	0
Palatine 18	0	0
Palatine 19	0	0
Palatine 20	0	0
Palatine 21	0	0
Palatine 22	0	0
Palatine 23	0	0
Palatine 24	0	0
Palatine 25	0	0
Palatine 26	0	0
Palatine 27	0	0
Palatine 28	0	0
Palatine 29	0	0
Palatine 30	0	0
Palatine 31	0	0
Palatine 32	0	0
Palatine 33	0	0
Palatine 34	0	0
Palatine 35	0	0
Palatine 36	0	0
Palatine 37	0	0
Palatine 38	0	0
Palatine 39	0	0
Palatine 40	0	0
Palatine 41	0	0
Palatine 42	0	0
Palatine 43	0	0
Palatine 44	0	0
Palatine 45	0	0
Palatine 46	0	0
Palatine 47	0	0
Palatine 48	0	0
Palatine 49	0	0
Palatine 50	0	0
Palatine 51	0	0
Palatine 52	0	0
Palatine 53	0	0
Palatine 54	0	0
Palatine 55	0	0
Palatine 56	0	0
Palatine 57	0	0
Palatine 58	0	0
Palatine 59	0	0
Palatine 60	0	0
Palatine 61	0	0
Palatine 62	0	0
Palatine 63	0	0
Palatine 64	0	0
Palatine 65	0	0
Palatine 66	0	0
Palatine 67	0	0
Palatine 68	0	0
Palatine 69	0	0
Palos 1	0	0
Palos 2	0	0
Palos 3	0	0
Palos 4	0	0
Palos 5	0	0
Palos 6	0	0
Palos 7	0	0
Palos 8	0	0
Palos 9	0	0
Palos 10	0	0
Palos 11	0	0
Palos 12	0	0
Palos 13	0	0
Palos 14	0	0
Palos 15	0	0
Palos 16	0	0
Palos 17	0	0
Palos 18	0	0
Palos 19	0	0
Palos 20	0	0
Palos 21	0	0
Palos 22	0	0
Palos 23	0	0
Palos 24	0	0
Palos 25	0	0
Palos 26	0	0
Palos 27	0	0
Palos 28	0	0
Palos 29	0	0
Palos 30	0	0
Palos 31	0	0
Palos 32	0	0
Palos 33	0	0
Palos 34	0	0
Palos 35	0	0
Palos 36	0	0
Palos 37	0	0
Palos 38	0	0
Palos 39	0	0
Proviso 3	0	0
Proviso 6	0	0
Proviso 7	0	0
Proviso 13	0	0
Proviso 16	0	0
Proviso 21	0	0
Proviso 23	0	0
Proviso 24	0	0
Proviso 25	0	0
Proviso 26	0	0
Proviso 27	0	0
Proviso 28	0	0
Proviso 29	0	0
Proviso 30	0	0
Proviso 32	0	0
Proviso 35	0	0
Proviso 39	0	0
Proviso 46	0	0
Proviso 49	0	0
Proviso 50	0	0
Proviso 51	0	0
Proviso 54	0	0
Proviso 55	0	0
Proviso 57	0	0
Proviso 59	0	0
Proviso 60	0	0
Proviso 63	0	0
