Precinct	total_votes	votes|Herb Schumann	votes|Martin J. Durkan	votes|Christopher Anthony
21033	443	12	404	27
21034	478	5	442	31
21035	449	11	415	23
21036	467	10	440	17
21037	370	9	348	13
21038	481	6	461	14
21039	388	5	363	20
21040	406	8	373	25
21041	412	13	367	32
21042	491	9	453	29
21043	456	4	429	23
21044	440	13	409	18
21045	415	21	367	27
21046	478	14	438	26
21047	457	7	420	30
21048	426	9	388	29
21049	500	9	455	36
21050	384	8	360	16
21051	433	12	393	28
21052	465	12	437	16
21053	350	13	315	22
21054	391	12	359	20
22001	270	3	250	17
22002	494	125	309	60
22003	582	31	489	62
22004	350	17	299	34
22005	431	24	363	44
22006	425	27	348	50
22007	318	28	247	43
22008	551	89	400	62
22009	379	25	304	50
22010	577	38	473	66
22011	374	28	301	45
22012	385	63	280	42
22013	401	36	317	48
22014	339	25	282	32
22015	381	27	311	43
22016	340	22	280	38
22017	444	32	357	55
22018	419	31	344	44
22019	240	9	216	15
22020	406	30	331	45
22021	497	12	460	25
22022	360	28	286	46
22023	535	14	482	39
22024	502	31	425	46
22025	422	21	360	41
23001	388	130	219	39
23002	393	144	212	37
23003	375	145	198	32
23004	443	110	276	57
23005	443	35	361	47
23006	463	69	348	46
23007	419	47	327	45
23008	489	88	332	69
23009	384	39	305	40
23010	495	78	382	35
23011	498	46	401	51
23012	384	160	181	43
23013	378	32	316	30
23014	352	112	201	39
23015	383	39	297	47
23016	383	146	197	40
23017	296	22	243	31
23018	360	114	211	35
23019	374	29	313	32
23020	312	27	252	33
23021	412	169	212	31
23022	402	109	262	31
23023	376	132	203	41
23024	375	49	289	37
23025	431	70	314	47
23026	424	67	310	47
23027	360	126	185	49
23028	400	128	226	46
23029	336	90	211	35
23030	488	63	366	59
23031	344	40	272	32
23032	422	49	336	37
23033	451	55	345	51
23034	425	41	351	33
23035	328	140	160	28
23036	384	130	211	43
23037	373	139	185	49
23038	352	103	212	37
23039	415	32	344	39
24001	365	4	336	25
24002	400	3	380	17
24003	444	8	415	21
24004	334	8	316	10
24005	257	10	232	15
24006	418	10	384	24
24007	252	17	195	40
24008	193	4	177	12
24009	450	12	416	22
24010	199	0	179	20
24011	486	10	454	22
24012	270	9	251	10
24013	267	8	245	14
24014	395	7	358	30
24015	266	12	246	8
24016	449	19	363	67
24017	326	9	298	19
24018	422	10	397	15
24019	509	6	479	24
24020	372	10	340	22
24021	226	4	214	8
24022	574	20	528	26
24023	400	18	367	15
24024	539	15	504	20
24025	311	7	299	5
24026	538	9	508	21
24027	427	13	390	24
24028	305	1	286	18
24029	287	3	259	25
24030	230	3	217	10
24031	466	12	431	23
24032	244	6	224	14
24033	258	3	240	15
24034	378	11	352	15
24035	395	9	373	13
24036	480	13	436	31
24037	269	1	258	10
24038	319	11	272	36
24039	450	20	399	31
24040	442	14	412	16
24041	296	6	276	14
25001	426	21	306	99
25002	483	32	339	112
25003	676	208	378	90
25004	517	53	421	43
