Precinct	total_votes	votes|Dan Patlak	votes|Marty Stack
Rich 31	526	218	308
Rich 33	509	232	277
Rich 38	158	27	131
Rich 43	772	52	720
Rich 50	387	192	195
River Forest 1	930	503	427
River Forest 2	618	374	244
River Forest 3	692	296	396
River Forest 4	750	350	400
River Forest 5	489	234	255
River Forest 6	486	257	229
River Forest 7	674	310	364
River Forest 8	874	364	510
Riverside 1	716	404	312
Riverside 2	78	35	43
Riverside 3	422	205	217
Riverside 4	876	462	414
Riverside 5	455	170	285
Riverside 6	558	266	292
Riverside 7	465	205	260
Riverside 8	765	382	383
Riverside 9	550	285	265
Riverside 10	768	432	336
Riverside 11	846	413	433
Riverside 12	469	183	286
Riverside 13	731	288	443
Schaumburg 1	1,081	452	629
Schaumburg 2	991	347	644
Schaumburg 3	638	335	303
Schaumburg 4	400	133	267
Schaumburg 5	392	251	141
Schaumburg 6	579	295	284
Schaumburg 7	489	154	335
Schaumburg 8	525	229	296
Schaumburg 9	483	185	298
Schaumburg 10	427	195	232
Schaumburg 11	556	308	248
Schaumburg 12	646	282	364
Schaumburg 13	472	256	216
Schaumburg 14	683	424	259
Schaumburg 15	607	331	276
Schaumburg 16	804	369	435
Schaumburg 17	679	398	281
Schaumburg 18	537	209	328
Schaumburg 19	492	220	272
Schaumburg 20	474	295	179
Schaumburg 21	862	495	367
Schaumburg 22	732	259	473
Schaumburg 23	695	314	381
Schaumburg 24	724	389	335
Schaumburg 25	684	318	366
Schaumburg 26	725	341	384
Schaumburg 27	497	228	269
Schaumburg 28	739	350	389
Schaumburg 29	693	379	314
Schaumburg 30	558	310	248
Schaumburg 31	839	423	416
Schaumburg 32	758	378	380
Schaumburg 33	522	305	217
Schaumburg 34	786	225	561
Schaumburg 35	458	204	254
Schaumburg 36	455	213	242
Schaumburg 37	419	232	187
Schaumburg 38	554	248	306
Schaumburg 39	874	495	379
Schaumburg 40	584	358	226
Schaumburg 41	590	315	275
Schaumburg 42	719	295	424
Schaumburg 43	562	167	395
Schaumburg 44	775	217	558
Schaumburg 45	662	285	377
Schaumburg 46	459	219	240
Schaumburg 47	587	344	243
Schaumburg 48	521	258	263
Schaumburg 49	444	184	260
Schaumburg 50	468	302	166
Schaumburg 51	510	168	342
Schaumburg 52	839	516	323
Schaumburg 53	600	328	272
Schaumburg 54	764	440	324
Schaumburg 55	560	333	227
Schaumburg 56	662	371	291
Schaumburg 57	813	492	321
Schaumburg 58	408	212	196
Schaumburg 59	790	509	281
Schaumburg 60	480	177	303
Schaumburg 61	890	440	450
Schaumburg 62	712	268	444
Schaumburg 63	532	309	223
Schaumburg 64	547	294	253
Schaumburg 65	485	284	201
Schaumburg 66	563	339	224
Schaumburg 67	612	311	301
Schaumburg 68	495	272	223
Schaumburg 69	494	297	197
Schaumburg 70	510	330	180
Schaumburg 71	598	295	303
Schaumburg 72	618	296	322
Schaumburg 73	741	410	331
Schaumburg 74	496	296	200
Schaumburg 75	529	332	197
Schaumburg 76	564	336	228
Schaumburg 77	819	369	450
Schaumburg 78	569	228	341
Stickney 5	280	127	153
Stickney 14	267	133	134
Thornton 13	268	92	176
Thornton 16	559	216	343
Thornton 18	888	386	502
Thornton 19	219	96	123
Thornton 24	651	242	409
Thornton 25	558	238	320
Thornton 43	483	222	261
Thornton 47	465	174	291
Thornton 50	477	97	380
Thornton 51	456	196	260
Thornton 57	434	220	214
Thornton 61	396	44	352
Thornton 65	750	307	443
Thornton 67	355	131	224
Thornton 68	632	224	408
Thornton 114	570	171	399
Thornton 117	3	1	2
Wheeling 1	648	334	314
Wheeling 2	479	311	168
Wheeling 3	629	387	242
Wheeling 4	519	300	219
Wheeling 5	578	332	246
Wheeling 6	417	231	186
Wheeling 7	843	517	326
Wheeling 8	437	283	154
Wheeling 9	571	239	332
Wheeling 10	775	509	266
Wheeling 11	894	502	392
Wheeling 12	955	610	345
Wheeling 13	601	401	200
Wheeling 14	509	336	173
Wheeling 15	558	328	230
Wheeling 16	271	105	166
Wheeling 17	660	297	363
Wheeling 18	585	369	216
Wheeling 19	830	510	320
Wheeling 20	725	473	252
Wheeling 21	463	342	121
Wheeling 22	686	363	323
Wheeling 23	597	432	165
Wheeling 24	545	432	113
Wheeling 25	767	397	370
Wheeling 26	910	574	336
Wheeling 27	1,002	584	418
Wheeling 28	879	584	295
