Precinct	total_votes	votes|Leslie Geissler Munger	votes|Susana Mendoza	votes|Claire Ball	votes|Tim Curtin
16033	390	13	360	10	7
16034	371	21	334	11	5
16035	496	27	443	15	11
16036	308	14	273	17	4
17001	436	47	359	17	13
17002	438	15	399	16	8
17003	491	23	432	19	17
17004	611	32	540	25	14
17005	377	13	341	13	10
17006	439	24	393	13	9
17007	443	29	390	11	13
17008	453	25	410	10	8
17009	364	15	331	9	9
17010	590	38	520	13	19
17011	409	18	365	10	16
17012	607	37	528	14	28
17013	410	18	373	11	8
17014	503	28	445	16	14
17015	540	22	489	12	17
17016	474	34	406	14	20
17017	443	34	390	9	10
17018	463	16	424	12	11
17019	317	17	280	8	12
17020	539	23	488	18	10
17021	499	29	449	9	12
17022	422	19	380	13	10
17023	300	18	269	8	5
17024	489	25	435	19	10
17025	368	17	339	9	3
17026	530	21	488	14	7
17027	450	21	412	10	7
17028	367	18	328	15	6
17029	454	23	405	12	14
17030	429	45	356	9	19
17031	329	12	306	8	3
17032	421	15	389	11	6
17033	342	61	262	6	13
17034	363	36	310	7	10
17035	394	18	356	19	1
17036	467	19	426	14	8
17037	400	54	329	11	6
17038	499	26	443	15	15
17039	470	12	431	13	14
17040	456	34	396	13	13
17041	524	30	468	16	10
18001	440	27	388	12	13
18002	461	75	366	17	3
18003	412	103	282	14	13
18004	474	35	420	10	9
18005	343	13	312	11	7
18006	426	123	272	14	17
18007	498	55	417	12	14
18008	452	33	408	7	4
18009	428	44	365	11	8
18010	554	34	493	14	13
18011	395	61	322	6	6
18012	438	27	391	7	13
18013	486	34	425	13	14
18014	461	23	416	12	10
18015	533	74	417	23	19
18016	427	30	376	9	12
18017	475	39	406	15	15
18018	362	23	325	5	9
18019	432	21	392	10	9
18020	376	17	345	7	7
18021	552	50	469	20	13
18022	478	24	436	11	7
18023	435	30	378	14	13
18024	460	91	322	25	22
18025	491	97	358	14	22
18026	520	46	455	11	8
18027	376	29	315	17	15
18028	452	119	306	16	11
18029	490	72	400	6	12
18030	534	134	369	10	21
18031	483	29	435	11	8
18032	473	23	427	12	11
18033	362	16	328	10	8
18034	508	51	430	11	16
18035	475	35	416	9	15
18036	490	68	386	12	24
18037	499	33	446	11	9
18038	413	24	373	8	8
18039	412	23	374	5	10
18040	543	81	435	15	12
18041	516	26	464	16	10
18042	440	23	378	25	14
18043	375	83	258	11	23
18044	417	109	291	7	10
18045	471	41	413	10	7
18046	506	101	366	17	22
18047	390	25	342	13	10
18048	371	16	336	8	11
18049	321	13	286	5	17
18050	392	24	355	5	8
19001	444	193	220	20	11
19002	618	118	463	17	20
19003	403	224	160	12	7
19004	562	289	242	16	15
19005	514	156	333	12	13
19006	514	266	213	19	16
19007	468	183	249	24	12
19008	560	289	231	17	23
19009	387	171	200	8	8
19010	582	192	355	15	20
19011	505	303	176	12	14
19012	431	236	162	17	16
19013	589	62	492	20	15
19014	542	149	351	20	22
19015	664	348	260	13	43
19016	518	273	217	16	12
19017	461	200	233	20	8
19018	453	155	279	12	7
19019	617	203	378	17	19
19020	423	58	337	12	16
19021	526	262	227	16	21
19022	508	186	298	14	10
19023	490	226	240	14	10
19024	370	209	141	8	12
19025	463	199	245	8	11
19026	520	235	264	16	5
19027	482	85	362	18	17
19028	565	56	470	16	23
19029	536	280	211	21	24
19030	465	246	183	16	20
19031	446	172	243	14	17
19032	440	190	213	18	19
19033	511	278	204	11	18
19034	463	188	251	15	9
19035	447	162	253	16	16
19036	698	93	551	26	28
19037	470	88	358	14	10
19038	438	82	330	8	18
19039	223	20	193	10	0
19040	528	157	329	20	22
19041	489	258	209	9	13
19042	381	101	249	16	15
19043	672	47	572	27	26
19044	570	307	229	22	12
19045	491	230	226	11	24
19046	507	257	224	11	15
19047	700	121	549	17	13
19048	625	34	560	18	13
19049	582	91	446	14	31
19050	420	153	243	14	10
19051	549	228	291	10	20
19052	578	281	247	33	17
19053	462	176	250	18	18
19054	416	231	159	10	16
19055	441	249	163	12	17
19056	520	170	331	12	7
19057	408	111	270	9	18
20001	511	25	457	16	13
20002	221	14	202	3	2
20003	399	22	350	13	14
20004	252	21	211	10	10
20005	513	35	454	12	12
20006	263	6	231	12	14
20007	522	27	444	25	26
20008	452	18	418	7	9
20009	651	32	580	21	18
20010	423	27	370	12	14
20011	625	29	571	16	9
20012	427	13	396	8	10
20013	598	27	540	19	12
20014	265	10	240	5	10
20015	513	41	443	14	15
20016	513	33	440	20	20
20017	310	23	265	14	8
20018	393	24	347	10	12
20019	521	27	462	14	18
20020	416	30	360	8	18
20021	415	19	373	6	17
20022	485	38	413	13	21
20023	609	28	549	14	18
20024	489	44	408	15	22
20025	405	23	357	12	13
20026	504	33	439	11	21
20027	282	11	253	8	10
20028	300	16	268	4	12
20029	557	28	502	13	14
20030	255	19	225	7	4
20031	587	23	533	13	18
20032	498	20	457	11	10
20033	340	14	313	6	7
20034	708	59	606	18	25
20035	491	14	456	9	12
20036	192	6	176	5	5
20037	180	7	165	6	2
20038	209	12	187	6	4
20039	63	0	62	0	1
21001	464	18	418	15	13
21002	389	9	361	10	9
21003	496	23	450	18	5
21004	483	14	432	20	17
21005	517	26	463	10	18
21006	428	23	378	17	10
21007	472	34	425	9	4
21008	501	30	449	10	12
21009	485	29	437	7	12
21010	442	29	385	8	20
21011	447	30	402	10	5
21012	443	25	405	6	7
21013	489	27	433	16	13
21014	522	41	457	10	14
21015	445	22	407	10	6
21016	435	27	385	12	11
21017	441	22	390	15	14
21018	525	24	485	11	5
21019	485	23	435	16	11
21020	451	18	409	15	9
21021	398	20	355	13	10
21022	443	25	394	15	9
21023	429	16	401	8	4
21024	458	24	420	8	6
21025	419	25	362	19	13
21026	511	31	449	16	15
21027	444	25	406	8	5
21028	592	22	538	20	12
21029	515	27	464	14	10
21030	400	23	360	7	10
21031	313	16	279	9	9
21032	457	19	411	16	11
21033	464	23	421	10	10
21034	498	23	451	12	12
21035	474	23	437	9	5
21036	485	22	440	16	7
21037	395	16	363	10	6
21038	502	24	464	10	4
21039	397	15	360	13	9
21040	423	23	373	18	9
21041	433	25	392	8	8
21042	508	33	445	18	12
21043	486	18	453	9	6
21044	457	27	403	15	12
21045	430	34	380	7	9
21046	506	21	460	16	9
21047	476	24	429	12	11
21048	443	24	392	12	15
21049	508	28	447	20	13
21050	393	22	348	18	5
21051	444	23	404	9	8
21052	486	19	446	14	7
21053	369	26	326	12	5
21054	411	23	365	18	5
22001	274	9	247	11	7
22002	530	150	340	18	22
22003	640	43	546	22	29
22004	386	29	323	15	19
22005	466	37	390	17	22
22006	441	45	362	17	17
22007	345	30	288	7	20
22008	588	116	430	25	17
22009	413	22	358	20	13
22010	638	56	547	21	14
22011	419	23	363	15	18
22012	406	79	296	12	19
22013	441	54	360	8	19
22014	376	22	323	17	14
22015	406	35	344	13	14
22016	389	35	325	16	13
22017	477	44	390	20	23
22018	437	30	377	14	16
22019	262	17	226	10	9
22020	434	39	371	6	18
22021	530	18	484	19	9
22022	410	27	347	16	20
22023	557	23	506	15	13
22024	537	38	455	22	22
22025	454	33	389	12	20
23001	424	163	236	17	8
23002	439	165	240	12	22
23003	404	179	198	13	14
23004	484	164	279	19	22
23005	477	56	391	16	14
23006	503	81	389	18	15
23007	443	48	370	13	12
23008	516	123	347	17	29
23009	399	51	319	15	14
23010	530	75	414	19	22
23011	530	54	444	18	14
23012	417	190	187	19	21
23013	400	41	342	6	11
23014	384	147	204	17	16
23015	419	50	349	8	12
23016	405	190	191	11	13
23017	329	34	276	10	9
23018	392	142	219	17	14
23019	397	40	325	12	20
23020	333	35	272	11	15
23021	434	207	197	15	15
23022	432	136	268	11	17
23023	420	180	208	16	16
23024	394	63	300	18	13
23025	458	89	333	19	17
23026	448	82	345	10	11
23027	388	177	174	19	18
23028	427	175	227	14	11
23029	356	120	212	16	8
23030	514	79	407	13	15
23031	375	48	299	15	13
23032	452	61	364	13	14
23033	490	63	395	16	16
23034	446	47	375	12	12
23035	348	150	179	9	10
23036	418	172	212	13	21
23037	396	193	173	14	16
23038	388	141	221	11	15
23039	443	51	363	16	13
24001	386	20	343	17	6
24002	433	19	399	9	6
24003	486	14	450	9	13
24004	351	15	327	5	4
24005	283	11	258	6	8
24006	431	28	379	18	6
24007	270	25	225	8	12
24008	210	10	185	3	12
24009	470	18	431	11	10
24010	212	10	192	5	5
24011	516	18	474	12	12
24012	297	13	270	7	7
24013	286	12	256	11	7
24014	441	12	398	17	14
24015	281	13	257	5	6
24016	479	37	395	16	31
24017	356	19	313	13	11
24018	439	13	407	7	12
24019	525	17	482	17	9
24020	380	25	335	14	6
24021	240	8	222	4	6
24022	608	29	555	17	7
24023	434	26	378	17	13
24024	569	22	508	22	17
24025	332	14	307	8	3
24026	577	22	530	15	10
24027	461	12	422	17	10
24028	320	14	294	8	4
24029	300	12	270	16	2
24030	243	11	225	5	2
24031	488	30	438	13	7
24032	261	12	238	5	6
24033	269	9	242	8	10
24034	412	18	373	9	12
24035	420	16	380	16	8
24036	513	30	452	15	16
24037	288	15	265	5	3
24038	338	22	297	11	8
24039	482	27	433	13	9
24040	479	25	432	11	11
24041	310	14	279	10	7
25001	458	43	370	15	30
25002	533	51	428	13	41
25003	752	225	474	34	19
25004	553	70	457	15	11
25005	559	71	431	27	30
25006	160	48	97	8	7
25007	528	58	408	21	41
25008	590	53	478	20	39
25009	593	46	485	24	38
25010	864	333	481	37	13
25011	566	49	446	24	47
25012	500	63	380	23	34
25013	598	52	485	28	33
25014	335	90	226	12	7
25015	479	55	383	15	26
25016	812	318	456	23	15
25017	570	69	448	27	26
25018	355	71	253	16	15
25019	537	41	439	17	40
25020	408	25	360	13	10
25021	933	237	603	50	43
25022	528	48	419	24	37
25023	594	53	460	31	50
25024	563	63	440	17	43
25025	573	168	357	22	26
25026	512	60	405	20	27
25027	780	223	495	33	29
25028	552	52	447	28	25
25029	508	48	433	18	9
25030	523	41	422	31	29
25031	1006	378	570	44	14
25032	474	86	344	24	20
26001	446	60	325	21	40
26002	403	43	330	14	16
26003	494	92	344	33	25
26004	328	18	283	14	13
26005	385	41	307	18	19
26006	351	31	300	5	15
26007	403	43	326	17	17
26008	228	23	185	10	10
26009	375	26	323	11	15
26010	401	43	317	16	25
26011	393	51	311	16	15
26012	443	34	358	18	33
26013	264	21	223	6	14
26014	329	20	275	15	19
26015	264	30	218	11	5
26016	263	27	223	7	6
26017	359	112	209	24	14
26018	342	31	278	11	22
26019	308	18	269	11	10
26020	374	42	295	14	23
26021	532	52	431	15	34
26022	271	18	236	7	10
26023	284	29	231	14	10
26024	399	31	335	14	19
26025	377	32	297	19	29
26026	310	37	250	5	18
26027	447	50	355	13	29
26028	549	125	370	27	27
26029	249	35	190	4	20
