Precinct	total_votes	votes|Donald J. Trump & Michael R. Pence	votes|Hillary R. Clinton & Timothy M. Kaine	votes|Gary Johnson & Bill Weld	votes|Jill Stein & Ajamu Baraka
18034	529	32	486	5	6
18035	496	16	472	3	5
18036	499	62	418	10	9
18037	500	18	476	2	4
18038	422	9	404	2	7
18039	417	12	392	4	9
18040	538	73	445	10	10
18041	516	16	495	2	3
18042	452	21	417	4	10
18043	385	80	290	6	9
18044	423	127	284	4	8
18045	474	35	422	8	9
18046	514	95	405	11	3
18047	396	14	373	4	5
18048	382	8	367	5	2
18049	332	13	314	3	2
18050	400	11	379	6	4
19001	456	201	235	15	5
19002	636	88	530	11	7
19003	402	272	114	13	3
19004	576	335	208	24	9
19005	518	106	381	25	6
19006	524	272	229	18	5
19007	474	175	270	21	8
19008	577	349	202	19	7
19009	398	198	189	9	2
19010	584	108	442	26	8
19011	526	354	148	17	7
19012	439	274	147	10	8
19013	592	29	552	7	4
19014	563	112	419	16	16
19015	675	405	225	28	17
19016	533	317	192	19	5
19017	465	221	213	25	6
19018	444	99	312	28	5
19019	626	130	458	22	16
19020	431	46	372	7	6
19021	539	339	168	20	12
19022	525	126	369	22	8
19023	501	228	242	26	5
19024	382	230	132	14	6
19025	477	149	307	14	7
19026	527	161	330	33	3
19027	475	44	411	12	8
19028	567	23	519	10	15
19029	553	314	211	20	8
19030	472	290	164	11	7
19031	449	137	291	17	4
19032	446	202	221	13	10
19033	526	329	173	16	8
19034	469	128	318	20	3
19035	445	117	313	10	5
19036	711	69	627	4	11
19037	474	51	410	6	7
19038	453	46	387	7	13
19039	225	14	206	3	2
19040	538	113	400	15	10
19041	499	307	176	14	2
19042	386	67	303	8	8
19043	688	20	651	4	13
19044	582	358	197	24	3
19045	493	244	222	22	5
19046	523	241	247	25	10
19047	705	103	579	16	7
19048	648	16	620	6	6
19049	587	51	513	6	17
19050	423	160	237	21	5
19051	555	219	304	16	16
19052	592	326	233	22	11
19053	478	164	283	21	10
19054	428	297	122	3	6
19055	463	284	164	10	5
19056	525	112	382	25	6
19057	418	64	332	7	15
20001	537	7	523	2	5
20002	229	8	219	2	0
20003	418	2	407	3	6
20004	265	18	241	2	4
20005	533	9	511	3	10
20006	277	5	269	2	1
20007	549	14	526	3	6
20008	463	3	453	3	4
20009	662	9	642	2	9
20010	435	5	423	3	4
20011	652	7	638	3	4
20012	436	0	432	1	3
20013	630	6	614	3	7
20014	275	4	267	1	3
20015	526	33	476	6	11
20016	534	14	502	5	13
20017	333	10	313	8	2
20018	423	3	414	4	2
20019	540	8	518	3	11
20020	437	24	399	6	8
20021	432	8	416	3	5
20022	495	9	474	7	5
20023	614	7	597	2	8
20024	502	12	481	3	6
20025	410	15	392	1	2
20026	520	17	490	6	7
20027	308	7	295	3	3
20028	317	4	309	2	2
20029	586	8	570	5	3
20030	260	3	255	1	1
20031	608	9	588	4	7
20032	521	8	508	1	4
20033	352	2	345	1	4
20034	744	27	696	9	12
20035	535	3	529	1	2
20036	198	1	195	2	0
20037	187	3	183	0	1
20038	213	3	208	0	2
20039	69	1	68	0	0
21001	472	4	457	5	6
21002	403	4	393	0	6
21003	497	8	478	4	7
21004	499	7	488	2	2
21005	523	10	509	4	0
21006	435	4	424	4	3
21007	480	7	467	3	3
21008	522	13	504	3	2
21009	498	1	495	1	1
21010	452	8	437	1	6
21011	459	3	454	0	2
21012	460	6	447	4	3
21013	497	13	475	3	6
21014	531	11	510	6	4
21015	457	6	446	2	3
21016	438	8	422	6	2
21017	454	9	433	5	7
21018	528	9	513	4	2
21019	489	6	473	5	5
21020	474	3	467	1	3
21021	407	9	392	2	4
21022	453	10	436	1	6
21023	442	7	431	2	2
21024	457	9	444	1	3
21025	423	8	407	3	5
21026	531	11	516	3	1
21027	458	4	448	3	3
21028	614	9	600	3	2
21029	532	6	517	3	6
21030	417	8	404	1	4
