Precinct	total_votes	votes|Yes	votes|No
26008	205	186	19
26009	346	327	19
26010	384	348	36
26011	377	343	34
26012	417	387	30
26013	226	208	18
26014	321	302	19
26015	274	253	21
26016	255	230	25
26017	344	319	25
26018	324	303	21
26019	282	255	27
26020	357	337	20
26021	511	479	32
26022	251	223	28
26023	263	241	22
26024	378	362	16
26025	365	337	28
26026	291	278	13
26027	430	406	24
26028	540	512	28
26029	241	218	23
26030	320	308	12
26031	196	184	12
26032	486	450	36
26033	400	386	14
26034	455	432	23
26035	321	301	20
26036	411	384	27
26037	453	430	23
26038	218	204	14
26039	446	416	30
26040	272	258	14
26041	477	451	26
26042	317	284	33
26043	249	236	13
26044	226	213	13
26045	208	185	23
26046	299	275	24
26047	301	272	29
26048	400	373	27
26049	219	207	12
27001	737	684	53
27002	519	481	38
27003	291	250	41
27004	286	254	32
27005	335	301	34
27006	484	446	38
27007	711	678	33
27008	408	365	43
27009	278	248	30
27010	471	433	38
27011	614	572	42
27012	384	364	20
27013	553	523	30
27014	246	225	21
27015	341	313	28
27016	645	597	48
27017	501	435	66
27018	347	307	40
27019	322	295	27
27020	468	419	49
27021	540	522	18
27022	271	249	22
27023	354	323	31
27024	379	352	27
27025	446	409	37
27026	375	356	19
27027	623	566	57
27028	242	225	17
27029	360	321	39
27030	216	197	19
27031	307	281	26
27032	396	358	38
27033	537	502	35
27034	409	333	76
27035	575	536	39
27036	255	233	22
27037	543	505	38
27038	739	697	42
27039	324	309	15
27040	687	640	47
27041	167	154	13
27042	353	329	24
27043	334	299	35
27044	349	317	32
27045	1026	970	56
27046	383	364	19
27047	353	330	23
27048	786	729	57
27049	359	334	25
27050	319	286	33
28001	397	355	42
28002	382	351	31
28003	356	321	35
28004	404	378	26
28005	190	182	8
28006	204	188	16
28007	473	429	44
28008	490	469	21
28009	402	368	34
28010	550	514	36
28011	856	795	61
28012	445	417	28
28013	386	344	42
28014	402	354	48
28015	69	62	7
28016	281	263	18
28017	389	359	30
28018	316	297	19
28019	394	369	25
28020	358	330	28
28021	260	243	17
28022	381	337	44
28023	514	474	40
28024	374	333	41
28025	508	466	42
28026	467	417	50
28027	473	434	39
28028	527	478	49
28029	246	220	26
28030	67	61	6
28031	493	451	42
28032	419	384	35
28033	383	352	31
28034	815	734	81
28035	513	488	25
28036	223	202	21
28037	545	494	51
28038	168	149	19
28039	351	322	29
28040	529	479	50
28041	338	302	36
28042	507	458	49
28043	533	489	44
28044	290	268	22
28045	512	476	36
28046	783	721	62
29001	594	553	41
29002	697	642	55
29003	563	517	46
29004	555	508	47
29005	448	413	35
29006	431	401	30
29007	472	441	31
29008	472	433	39
29009	539	496	43
29010	596	553	43
29011	275	252	23
29012	591	558	33
29013	534	491	43
29014	451	414	37
29015	570	531	39
29016	546	500	46
29017	458	428	30
29018	521	488	33
29019	539	487	52
29020	623	572	51
29021	680	605	75
29022	404	362	42
29023	518	478	40
29024	458	428	30
29025	558	516	42
29026	484	448	36
29027	443	403	40
29028	628	578	50
29029	520	471	49
29030	562	528	34
29031	480	442	38
29032	459	412	47
29033	329	309	20
29034	312	290	22
29035	362	330	32
29036	422	386	36
29037	419	386	33
29038	474	432	42
29039	454	423	31
29040	347	330	17
29041	425	390	35
29042	553	501	52
29043	579	537	42
29044	618	568	50
30001	548	515	33
30002	462	416	46
30003	373	356	17
30004	457	416	41
30005	383	360	23
30006	365	343	22
30007	533	495	38
30008	550	514	36
30009	380	346	34
30010	536	499	37
30011	451	424	27
30012	466	434	32
30013	430	389	41
30014	322	297	25
30015	411	379	32
30016	231	222	9
30017	476	441	35
30018	557	509	48
30019	482	461	21
30020	534	505	29
30021	375	348	27
30022	636	580	56
30023	544	505	39
30024	585	540	45
30025	637	584	53
30026	317	290	27
30027	328	296	32
30028	526	485	41
30029	335	311	24
30030	223	206	17
30031	329	311	18
30032	389	372	17
31001	334	311	23
31002	272	252	20
31003	332	311	21
31004	440	410	30
31005	341	318	23
31006	263	250	13
31007	525	501	24
31008	268	252	16
31009	353	330	23
31010	326	306	20
31011	313	285	28
31012	299	276	23
31013	353	333	20
31014	320	305	15
31015	287	268	19
31016	400	371	29
31017	329	308	21
31018	295	283	12
31019	285	265	20
31020	309	290	19
31021	329	304	25
31022	302	276	26
31023	323	301	22
31024	344	324	20
31025	311	285	26
31026	299	274	25
31027	375	350	25
31028	318	294	24
31029	330	307	23
31030	261	246	15
31031	303	283	20
31032	298	284	14
31033	315	291	24
31034	355	325	30
31035	347	333	14
31036	333	312	21
31037	315	290	25
31038	345	320	25
31039	343	321	22
31040	368	342	26
31041	332	310	22
32001	743	688	55
32002	730	690	40
32003	675	637	38
32004	602	574	28
32005	657	622	35
32006	719	692	27
32007	694	655	39
32008	772	733	39
32009	656	615	41
32010	681	645	36
32011	574	551	23
32012	455	429	26
32013	682	643	39
32014	659	628	31
32015	613	576	37
32016	631	592	39
32017	587	553	34
32018	613	580	33
32019	602	579	23
32020	573	525	48
32021	657	619	38
32022	798	754	44
32023	655	607	48
32024	549	509	40
32025	623	580	43
32026	649	607	42
32027	638	595	43
32028	612	574	38
32029	687	649	38
32030	662	626	36
32031	682	638	44
32032	634	604	30
32033	652	614	38
32034	700	658	42
32035	654	619	35
32036	670	639	31
32037	633	605	28
32038	629	595	34
32039	672	632	40
32040	689	665	24
32041	663	627	36
32042	591	550	41
32043	497	473	24
33001	649	613	36
33002	722	673	49
33003	729	688	41
33004	826	770	56
33005	563	526	37
33006	573	533	40
33007	663	621	42
33008	784	745	39
33009	714	668	46
33010	565	537	28
33011	697	647	50
33012	664	614	50
33013	610	571	39
33014	339	320	19
33015	686	650	36
33016	854	802	52
33017	711	674	37
33018	814	772	42
33019	684	643	41
33020	722	690	32
33021	685	656	29
33022	599	565	34
33023	677	637	40
33024	773	742	31
33025	777	741	36
33026	518	491	27
33027	666	634	32
33028	581	555	26
34001	487	447	40
34002	345	325	20
34003	502	452	50
34004	386	353	33
34005	370	347	23
34006	515	481	34
34007	493	462	31
34008	373	347	26
34009	404	368	36
34010	426	395	31
34011	397	364	33
34012	502	464	38
34013	494	443	51
34014	389	346	43
34015	459	424	35
34016	423	388	35
34017	585	529	56
34018	370	328	42
34019	592	541	51
34020	488	466	22
34021	506	470	36
34022	415	375	40
34023	373	339	34
34024	437	401	36
34025	492	452	40
34026	503	458	45
