Precinct	total_votes	votes|Kim Foxx	votes|Bill Conway	votes|Donna More	votes|Bob Fioretti
20004	101	78	19	4	0
20005	272	238	19	7	8
20006	93	83	5	3	2
20007	225	187	22	12	4
20008	221	188	18	8	7
20009	389	328	32	17	12
20010	164	149	11	2	2
20011	314	264	34	9	7
20012	172	140	15	10	7
20013	252	207	29	8	8
20014	137	119	8	7	3
20015	193	78	76	29	10
20016	302	237	36	21	8
20017	137	75	39	14	9
20018	148	129	15	3	1
20019	229	186	29	11	3
20020	137	70	40	18	9
20021	150	111	23	12	4
20022	319	274	26	13	6
20023	214	170	27	10	7
20024	285	227	27	21	10
20025	155	129	11	9	6
20026	245	194	34	10	7
20027	126	109	7	4	6
20028	126	114	6	3	3
20029	255	215	25	9	6
20030	109	90	11	6	2
20031	281	235	28	15	3
20032	180	146	20	9	5
20033	147	114	16	10	7
20034	360	295	26	29	10
20035	147	115	21	8	3
20036	60	50	5	0	5
20037	59	50	6	2	1
20038	71	52	13	2	4
20039	14	14	0	0	0
21001	270	237	18	14	1
21002	201	168	23	7	3
21003	274	239	18	16	1
21004	226	202	19	2	3
21005	301	256	22	11	12
21006	229	199	17	10	3
21007	272	250	14	8	0
21008	255	221	20	9	5
21009	287	254	15	10	8
21010	220	193	11	11	5
21011	240	216	10	12	2
21012	223	196	17	6	4
21013	231	209	10	9	3
21014	281	259	14	6	2
21015	218	190	21	4	3
21016	223	191	20	10	2
21017	201	180	15	2	4
21018	291	256	18	13	4
21019	266	240	10	12	4
21020	224	207	12	5	0
21021	203	177	17	7	2
21022	220	188	20	8	4
21023	225	188	21	9	7
21024	267	237	18	10	2
21025	240	205	18	12	5
21026	222	187	18	12	5
21027	246	210	22	10	4
21028	296	255	28	10	3
21029	313	271	24	10	8
21030	186	161	17	5	3
21031	205	187	7	9	2
21032	229	203	14	8	4
21033	237	205	13	14	5
21034	219	180	20	11	8
21035	304	270	21	13	0
21036	261	228	18	6	9
21037	176	152	15	6	3
21038	227	184	22	16	5
21039	195	162	16	15	2
21040	246	206	26	9	5
21041	269	232	22	13	2
21042	292	249	25	12	6
21043	217	195	18	3	1
21044	273	227	27	13	6
21045	217	184	21	8	4
21046	279	247	25	6	1
21047	215	185	17	8	5
21048	234	203	15	10	6
21049	290	256	17	9	8
21050	186	149	23	9	5
21051	257	221	21	12	3
21052	230	201	16	11	2
21053	211	183	15	9	4
21054	216	183	21	11	1
22001	137	111	15	6	5
22002	260	62	140	36	22
22003	293	130	121	34	8
22004	172	88	57	21	6
22005	184	72	81	23	8
22006	214	97	77	34	6
22007	152	73	59	16	4
22008	279	106	125	31	17
22009	146	55	61	25	5
22010	275	116	116	26	17
22011	180	79	67	24	10
22012	181	68	85	17	11
22013	196	63	93	27	13
22014	181	90	58	24	9
22015	162	64	63	27	8
22016	154	54	75	15	10
22017	221	108	88	20	5
22018	152	54	67	20	11
22019	94	76	11	4	3
22020	217	92	91	20	14
22021	224	194	19	8	3
22022	170	71	66	21	12
22023	292	241	27	13	11
22024	239	94	100	33	12
22025	201	82	85	29	5
23001	202	25	143	17	17
23002	195	25	127	28	15
23003	197	27	135	22	13
23004	248	31	173	23	21
23005	218	53	111	35	19
23006	101	25	51	11	14
23007	176	55	68	36	17
23008	228	61	123	30	14
23009	175	52	97	18	8
23010	223	57	114	29	23
23011	208	68	92	27	21
23012	229	25	162	22	20
23013	182	53	83	33	13
23014	210	25	140	20	25
23015	81	24	32	21	4
23016	220	22	163	16	19
23017	128	44	51	28	5
23018	174	18	128	12	16
23019	176	67	69	28	12
23020	107	33	52	17	5
23021	251	34	174	25	18
23022	204	35	122	36	11
23023	208	22	141	21	24
23024	138	32	72	24	10
23025	174	46	78	38	12
23026	188	57	93	25	13
23027	216	14	162	22	18
23028	224	42	133	22	27
23029	188	33	118	18	19
23030	250	63	127	38	22
23031	178	63	70	27	18
23032	179	72	69	24	14
23033	201	46	109	42	4
23034	215	71	92	38	14
23035	166	39	101	10	16
23036	182	16	125	25	16
23037	221	30	148	19	24
23038	185	27	122	16	20
23039	221	71	97	44	9
24001	193	167	14	6	6
24002	163	147	10	3	3
24003	192	165	17	6	4
24004	148	121	13	11	3
24005	109	91	11	4	3
24006	228	193	24	9	2
24007	122	69	32	15	6
24008	93	80	4	5	4
24009	180	151	16	9	4
24010	93	79	7	4	3
24011	202	171	12	11	8
24012	90	74	10	4	2
24013	90	84	3	2	1
24014	160	133	18	8	1
24015	82	75	4	2	1
24016	465	353	74	30	8
24017	153	135	8	6	4
24018	225	196	19	6	4
24019	237	200	20	13	4
24020	153	136	11	6	0
24021	100	84	11	5	0
24022	252	213	25	13	1
24023	140	113	18	5	4
24024	218	191	14	8	5
24025	141	117	12	8	4
24026	306	260	31	6	9
24027	213	183	19	5	6
24028	157	129	17	10	1
24029	159	136	11	11	1
24030	126	108	15	2	1
24031	213	176	20	14	3
24032	106	91	10	3	2
24033	125	107	10	6	2
24034	193	158	18	11	6
24035	173	144	15	10	4
24036	245	208	20	9	8
24037	116	98	10	5	3
24038	183	162	14	5	2
24039	199	149	32	13	5
24040	212	177	23	9	3
24041	146	134	5	6	1
25001	242	102	100	31	9
25002	353	214	54	59	26
25003	329	142	116	49	22
25004	197	131	38	16	12
25005	324	140	116	40	28
25006	96	22	47	19	8
25007	300	170	67	47	16
25008	334	160	103	51	20
25009	265	122	71	56	16
25010	288	95	103	58	32
25011	336	164	101	52	19
25012	296	148	79	43	26
25013	308	146	89	49	24
25014	188	67	83	32	6
25015	247	108	90	39	10
25016	321	117	120	53	31
25017	294	160	82	35	17
25018	202	59	108	30	5
25019	324	172	93	42	17
25020	150	102	18	4	26
25021	365	190	90	68	17
25022	277	148	72	40	17
25023	340	155	113	50	22
25024	308	171	86	36	15
25025	240	87	62	45	46
25026	306	126	120	39	21
25027	312	130	100	50	32
25028	339	177	102	41	19
25029	236	157	51	17	11
25030	298	149	83	40	26
25031	370	138	150	53	29
25032	231	76	91	48	16
26001	240	144	59	22	15
26002	187	111	43	27	6
26003	247	147	53	38	9
26004	133	79	33	15	6
26005	225	141	52	23	9
26006	183	95	56	20	12
26007	240	159	42	34	5
26008	119	48	53	12	6
26009	165	98	52	9	6
26010	181	107	40	26	8
26011	213	97	77	27	12
26012	243	137	57	38	11
26013	118	50	53	10	5
26014	156	88	45	17	6
26015	109	53	40	11	5
26016	83	42	25	11	5
26017	170	74	57	28	11
26018	96	52	26	16	2
26019	131	75	31	18	7
26020	215	127	45	32	11
26021	248	167	47	28	6
26022	103	49	43	10	1
26023	168	83	57	25	3
26024	128	70	27	23	8
26025	159	100	35	17	7
26026	130	82	23	23	2
26027	202	142	33	22	5
26028	297	134	93	52	18
26029	94	45	29	14	6
26030	173	113	37	20	3
26031	99	56	28	9	6
26032	238	99	82	40	17
