Precinct	total_votes	votes|Kevin Mcdevitt	votes|Barbara Mcgowan	votes|Mariyana T. Spyropoulos	votes|Josina Morita	votes|R. Cary Capparelli	votes|Joseph Daniel Cook
18028	551	53	127	149	105	46	71
18029	713	138	166	124	114	39	132
18030	669	100	140	97	134	61	137
18031	718	117	176	145	116	37	127
18032	735	107	228	139	97	28	136
18033	555	87	157	99	69	24	119
18034	897	143	268	178	130	34	144
18035	810	119	226	187	127	33	118
18036	695	101	169	153	114	41	117
18037	765	113	204	158	133	20	137
18038	634	111	180	94	95	20	134
18039	485	71	137	87	81	31	78
18040	779	114	200	111	156	39	159
18041	791	137	223	125	101	30	175
18042	519	89	139	81	79	27	104
18043	467	77	93	78	106	33	80
18044	495	68	95	120	87	42	83
18045	581	84	156	106	109	31	95
18046	693	97	159	137	134	52	114
18047	520	80	147	93	79	31	90
18048	544	91	159	90	89	21	94
18049	451	73	143	62	72	13	88
18050	442	90	116	69	53	17	97
19001	594	95	140	144	82	27	106
19002	1020	141	257	221	171	45	185
19003	413	87	96	83	33	32	82
19004	589	126	138	129	65	43	88
19005	809	94	198	197	132	51	137
19006	541	106	123	128	67	28	89
19007	607	110	138	129	81	47	102
19008	576	123	121	122	61	52	97
19009	471	91	120	109	52	37	62
19010	921	106	210	234	161	65	145
19011	508	98	104	123	64	54	65
19012	437	76	102	98	46	35	80
19013	971	142	265	181	164	41	178
19014	806	122	210	177	117	53	127
19015	598	110	140	128	76	45	99
19016	635	126	151	143	77	51	87
19017	586	116	127	148	66	45	84
19018	730	73	175	191	127	49	115
19019	861	122	200	226	140	46	127
19020	677	110	180	137	91	39	120
19021	454	106	100	90	49	26	83
19022	630	88	158	148	101	37	98
19023	647	136	151	145	64	40	111
19024	424	72	99	105	50	36	62
19025	662	106	136	154	103	53	110
19026	586	95	113	147	86	42	103
19027	781	104	203	170	131	52	121
19028	941	139	254	167	160	43	178
19029	488	92	104	108	59	49	76
19030	502	109	112	113	58	40	70
19031	636	89	136	151	104	44	112
19032	539	101	106	131	61	40	100
19033	535	120	133	111	51	42	78
19034	636	80	146	161	102	46	101
19035	673	111	151	168	95	39	109
19036	965	141	263	171	155	50	185
19037	780	133	176	189	136	43	103
19038	713	98	195	151	115	41	113
19039	309	50	78	49	50	17	65
19040	769	121	169	174	119	49	137
19041	443	101	113	89	42	31	67
19042	570	77	148	113	98	34	100
19043	978	160	255	154	151	46	212
19044	653	115	162	149	81	47	99
19045	626	97	153	160	90	34	92
19046	621	122	130	156	62	35	116
19047	1158	175	300	214	190	56	223
19048	859	161	242	118	119	39	180
19049	1010	143	272	190	178	40	187
19050	540	102	122	122	67	30	97
19051	766	149	162	179	83	50	143
19052	580	130	135	119	65	42	89
19053	555	99	120	112	67	46	111
19054	372	79	74	73	33	41	72
19055	441	91	97	84	43	51	75
